label,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20
A,0.0,0.0,0.0,-0.06701350212097168,-0.06499224901199341,-0.011210062060456494,-0.10608482360839844,-0.1685827374458313,-0.012534766908686379,-0.12885940074920654,-0.2524779438972473,-0.019975319955449322,-0.16259145736694336,-0.3045932352542877,-0.022329956743817547,-0.08181500434875488,-0.23622667789459229,0.02840891807903745,-0.09640514850616455,-0.3218904733657837,-0.002241038003887752,-0.10146093368530273,-0.26143449544906616,-0.019146349731784085,-0.09384208917617798,-0.22120404243469238,-0.024304891455869893,-0.046125829219818115,-0.24321728944778442,0.019859326552648326,-0.060908615589141846,-0.33640727400779724,-0.013201396431725243,-0.06798261404037476,-0.26026296615600586,-0.021666422937016705,-0.05686002969741821,-0.22329163551330566,-0.0165657573230078,-0.008518040180206299,-0.23906433582305908,0.003701856141958615,-0.020284712314605713,-0.33607643842697144,-0.025424976352553585,-0.032008230686187744,-0.26832854747772217,-0.01598149769375823,-0.02420896291732788,-0.2248471975326538,0.0006190820863025692,0.03101325035095215,-0.22542446851730347,-0.015059278797309616,0.022368311882019043,-0.30381709337234497,-0.026626155231099347,0.0036336183547973633,-0.26320111751556396,-0.01580066278944514,0.002665102481842041,-0.22440075874328613,-0.002576430546071151
A,0.0,0.0,0.0,-0.06776249408721924,-0.0676717758178711,-0.009487978148229104,-0.105013906955719,-0.17197811603546143,-0.009360654245085698,-0.12757259607315063,-0.25586289167404175,-0.015845911542839985,-0.16280943155288696,-0.30428779125213623,-0.0179016943675947,-0.08205407857894897,-0.23752528429031372,0.035547671874098796,-0.0928192138671875,-0.323236882686615,0.007283383549236078,-0.10100126266479492,-0.27486714720726013,-0.010999799671537858,-0.09775006771087646,-0.23489218950271606,-0.017511911655731183,-0.04637444019317627,-0.2457452416419983,0.026768244837455768,-0.058232665061950684,-0.3379117250442505,-0.0033298676954132134,-0.06834042072296143,-0.27013981342315674,-0.014296363073356133,-0.06089818477630615,-0.22975528240203857,-0.011609012226529103,-0.008391141891479492,-0.24265015125274658,0.010370790992908496,-0.018952131271362305,-0.336436927318573,-0.015903193469114285,-0.0323101282119751,-0.27565065026283264,-0.009983525576956254,-0.02641063928604126,-0.23188680410385132,0.003601979964457769,0.031816065311431885,-0.22872400283813477,-0.00857425011969326,0.02399575710296631,-0.30758941173553467,-0.01806486394531248,0.005709171295166016,-0.27069976925849915,-0.008448115515477639,0.003916501998901367,-0.23113864660263062,0.0033610596200901455
A,0.0,0.0,0.0,-0.06592297554016113,-0.06520074605941772,-0.005534513075758696,-0.10596352815628052,-0.17370128631591797,-0.0019939554994152786,-0.12883210182189941,-0.2568207383155823,-0.005940631185580969,-0.16270184516906738,-0.3043874502182007,-0.005304414466877461,-0.08298075199127197,-0.23754394054412842,0.0425741815334959,-0.09501594305038452,-0.32360440492630005,0.016769319153468132,-0.10101085901260376,-0.27763643860816956,-0.0010040454006912114,-0.09763342142105103,-0.23946928977966309,-0.007480927896608591,-0.05033153295516968,-0.24685049057006836,0.032463486618439674,-0.06442838907241821,-0.3361019790172577,0.004382033678780317,-0.07151871919631958,-0.2718004584312439,-0.006768868924041271,-0.06350129842758179,-0.23333442211151123,-0.004398336321969509,-0.013845860958099365,-0.24688023328781128,0.014734991206864834,-0.027621090412139893,-0.3358614146709442,-0.008038636916239739,-0.038730502128601074,-0.27905774116516113,-0.0017232216567890646,-0.032104671001434326,-0.2395951747894287,0.011167101874093532,0.025987863540649414,-0.23836517333984375,-0.005645091799010515,0.015585184097290039,-0.3140851855278015,-0.011469556637962341,-0.0011431574821472168,-0.2775828242301941,-0.000786558121831149,-0.0008142590522766113,-0.2410326600074768,0.010836468390266418
A,0.0,0.0,0.0,-0.06480997800827026,-0.06349754333496094,-0.0035878975212426667,-0.10602396726608276,-0.16836386919021606,-0.0007965168950931911,-0.13081347942352295,-0.24487382173538208,-0.005291904908403922,-0.16275447607040405,-0.2900591492652893,-0.005636031393692065,-0.07584023475646973,-0.2339332103729248,0.036659564237311315,-0.09075593948364258,-0.3188190162181854,0.010779663334801626,-0.1061355471611023,-0.2658293843269348,-0.00565966929195838,-0.10269302129745483,-0.22173583507537842,-0.011448898006960917,-0.04401814937591553,-0.24242275953292847,0.025840373124196958,-0.06228482723236084,-0.33481329679489136,-0.0021828095231057887,-0.07975238561630249,-0.2680319547653198,-0.011525264595434237,-0.07183945178985596,-0.22643417119979858,-0.008234327313289214,-0.008706390857696533,-0.24111145734786987,0.00815214996339364,-0.024959325790405273,-0.33941352367401123,-0.014763935123369265,-0.046461641788482666,-0.28069424629211426,-0.008344376113996077,-0.04224783182144165,-0.2365943193435669,0.004395697611585092,0.029267072677612305,-0.231259286403656,-0.011596576896295119,0.01340252161026001,-0.30682381987571716,-0.01850477292089181,-0.008722484111785889,-0.27214694023132324,-0.008815902870878745,-0.009321808815002441,-0.23610061407089233,0.002289993568524551
A,0.0,0.0,0.0,-0.06712371110916138,-0.0555647611618042,-0.0066586034751594525,-0.11189329624176025,-0.1591971516609192,-0.0043101208663642865,-0.1369403600692749,-0.24061661958694458,-0.008281530384635971,-0.17108148336410522,-0.2889969050884247,-0.007671634238874958,-0.09274685382843018,-0.22731322050094604,0.032064834106051876,-0.11098212003707886,-0.3136672377586365,0.005434747747415258,-0.11871069669723511,-0.25956499576568604,-0.010438272301769302,-0.10979753732681274,-0.21665340662002563,-0.015542226415789173,-0.06040358543395996,-0.23716247081756592,0.022396962586128666,-0.0795128345489502,-0.33100974559783936,-0.0061240131414592724,-0.08897203207015991,-0.2605900764465332,-0.014195542354798363,-0.07739883661270142,-0.21982413530349731,-0.009660874065673397,-0.025230348110198975,-0.2370615005493164,0.0058111394376396674,-0.04230135679244995,-0.3338848948478699,-0.017933970820820377,-0.055793821811676025,-0.26981300115585327,-0.009323834945178078,-0.046683549880981445,-0.2258802056312561,0.005135885867559864,0.01300358772277832,-0.22788012027740479,-0.013182078991746948,-0.0035276412963867188,-0.3035820722579956,-0.020993646737849758,-0.02031499147415161,-0.2626783847808838,-0.009876660574889229,-0.016541659832000732,-0.22522586584091187,0.0024222354025482673
A,0.0,0.0,0.0,-0.06944262981414795,-0.06826996803283691,-6.74380010252662e-05,-0.11324143409729004,-0.16733437776565552,0.0038208062012188293,-0.14102357625961304,-0.2450098991394043,0.000495534606415049,-0.17545855045318604,-0.2952629625797272,-0.0009652309402383707,-0.08114826679229736,-0.23619544506072998,0.04777218626779245,-0.09559744596481323,-0.3056793808937073,0.028146127629696593,-0.12189096212387085,-0.3161444067955017,0.00654108395767139,-0.14455968141555786,-0.3114502429962158,-0.005790024604976907,-0.05016738176345825,-0.24642103910446167,0.03643555046957658,-0.07048141956329346,-0.32191744446754456,0.0160915482972257,-0.09864950180053711,-0.31677907705307007,-0.0027850280332870625,-0.11805105209350586,-0.30480852723121643,-0.010998350177288785,-0.01647186279296875,-0.24652403593063354,0.018982516992508636,-0.03491717576980591,-0.32408541440963745,0.0001068717371879302,-0.06146138906478882,-0.31424230337142944,-0.0033231103609807633,-0.07706481218338013,-0.2958218455314636,0.00031018427191042974,0.022913455963134766,-0.2394315004348755,-0.00041183929923249707,0.017893850803375244,-0.31978195905685425,-0.009328838978291287,0.0020897984504699707,-0.3415723443031311,-0.007389477063298955,-0.009985923767089844,-0.3510552644729614,-0.002856395747841134
A,0.0,0.0,0.0,-0.0649067759513855,-0.0613519549369812,-0.008068944145804835,-0.10769790410995483,-0.16705238819122314,-0.007630055588549567,-0.13480287790298462,-0.24915391206741333,-0.013166479584640456,-0.16891062259674072,-0.2957684099674225,-0.015593534153765631,-0.07110965251922607,-0.2263539433479309,0.03037508781545739,-0.08335685729980469,-0.3123491406440735,0.005655565015160846,-0.09761947393417358,-0.2763272523880005,-0.013478068453139258,-0.09989655017852783,-0.23759394884109497,-0.022248096582359267,-0.03840368986129761,-0.2317163348197937,0.021679265606337594,-0.05317968130111694,-0.3227475881576538,-0.0037771361459704167,-0.07109963893890381,-0.27346864342689514,-0.018054412496155692,-0.0708770751953125,-0.2327944040298462,-0.02040879782742877,-0.0023280978202819824,-0.2292807698249817,0.006813380117648649,-0.0142478346824646,-0.3232514560222626,-0.015749869686430884,-0.03838402032852173,-0.2766565680503845,-0.014869505357808066,-0.04256618022918701,-0.23254549503326416,-0.0071505939633311755,0.03737974166870117,-0.21826809644699097,-0.01004046462929864,0.024896204471588135,-0.29388800263404846,-0.019756553512877417,0.0009207725524902344,-0.26104846596717834,-0.012999075283175898,-0.00716090202331543,-0.22078561782836914,-0.004566846699333382
A,0.0,0.0,0.0,-0.06404364109039307,-0.0592464804649353,-0.013498769092109342,-0.10443234443664551,-0.16500991582870483,-0.0142225706453587,-0.12798380851745605,-0.25031355023384094,-0.02032563178494229,-0.16047650575637817,-0.30140793323516846,-0.020831319453861852,-0.07833641767501831,-0.23431110382080078,0.026137472179982524,-0.09015542268753052,-0.32209303975105286,-0.0056809302854503585,-0.08931106328964233,-0.26466235518455505,-0.02410382865622296,-0.0825648307800293,-0.22108346223831177,-0.029665569725182195,-0.041393935680389404,-0.243015319108963,0.019492843237969737,-0.050961434841156006,-0.32980236411094666,-0.01163767273231997,-0.053263068199157715,-0.25746217370033264,-0.020865314590480466,-0.045980870723724365,-0.22246026992797852,-0.017293772610571523,-0.002539694309234619,-0.24025651812553406,0.004938250457200866,-0.0072501301765441895,-0.3300820589065552,-0.022520576554086347,-0.018842875957489014,-0.2665144205093384,-0.015195943365540643,-0.017109036445617676,-0.22598648071289062,-0.0009251019304770125,0.036546170711517334,-0.2277727723121643,-0.01244500833257689,0.035404205322265625,-0.3019393980503082,-0.02299734106912865,0.017270445823669434,-0.26284629106521606,-0.013452918219115872,0.010874390602111816,-0.22510159015655518,-0.0016573585539276792
A,0.0,0.0,0.0,-0.0624847412109375,-0.06569194793701172,-0.010352623326241428,-0.10056787729263306,-0.1710842251777649,-0.011284503763079101,-0.12307971715927124,-0.2530558109283447,-0.018203343873381073,-0.1566551923751831,-0.3001140356063843,-0.02063375865435546,-0.07319438457489014,-0.23311656713485718,0.026734836722255295,-0.08465266227722168,-0.31977400183677673,-0.0035670754998022858,-0.08904457092285156,-0.2662476897239685,-0.021722055648922378,-0.08326053619384766,-0.2236725091934204,-0.027792058562397415,-0.03784048557281494,-0.23908382654190063,0.018280627528667992,-0.04584699869155884,-0.329628586769104,-0.012954242204784805,-0.054634928703308105,-0.2607114613056183,-0.022915709441065246,-0.04874849319458008,-0.2225484848022461,-0.020005525698422844,-0.0005255341529846191,-0.23512786626815796,0.0025352473338102754,-0.004937589168548584,-0.3301418423652649,-0.0234641690305466,-0.019658982753753662,-0.27094578742980957,-0.015931455095767433,-0.017736315727233887,-0.2298060655593872,-0.0022050201925480906,0.037859559059143066,-0.2219257354736328,-0.015785820459484512,0.03593897819519043,-0.29782557487487793,-0.02543991771852916,0.01706111431121826,-0.26271817088127136,-0.015515968812167102,0.012100040912628174,-0.2277156114578247,-0.003910702330529148
A,0.0,0.0,0.0,-0.06557375192642212,-0.0692300796508789,-0.010840343260269947,-0.10194772481918335,-0.1699061393737793,-0.012546187215548343,-0.12468522787094116,-0.2511026859283447,-0.020342454263072796,-0.15841710567474365,-0.30084335803985596,-0.023929851078491993,-0.0795137882232666,-0.23405945301055908,0.030731914616126232,-0.09078973531723022,-0.31886976957321167,0.002039527804527097,-0.09694421291351318,-0.2710009515285492,-0.01751990611205656,-0.09343761205673218,-0.22848010063171387,-0.02499923477421362,-0.04423469305038452,-0.24135059118270874,0.022434949926037007,-0.05437493324279785,-0.33569836616516113,-0.008067990602057762,-0.06379479169845581,-0.27307790517807007,-0.021533761122327633,-0.058346331119537354,-0.22968387603759766,-0.02094898926566202,-0.00672602653503418,-0.2375783920288086,0.006955634853738957,-0.013926684856414795,-0.3352363705635071,-0.01852552960167486,-0.02845698595046997,-0.2827143967151642,-0.016172377341490574,-0.025967955589294434,-0.23770320415496826,-0.005610306230437345,0.032545387744903564,-0.22334057092666626,-0.011026929081481285,0.02774035930633545,-0.3023000657558441,-0.02055577369878847,0.00911790132522583,-0.2725157141685486,-0.013650502958398647,0.004415571689605713,-0.234999418258667,-0.004142212164651937
